"combo","pop","order"
"M/G_G/A",3,66
"I/Y_K/A",3,67
"K/I_M/A",3,68
"B/I_W/A",3,69
"I/N_N/A",3,70
"I/G_W/A",3,71
"I/Y_M/A",3,72
"M/B_Y/A",3,73
"Y/I_M/A",3,74
"B/W_I/A",3,75
"Y/G_I/A",4,1
"G/R_I/A",4,2
"Y/M_G/A",4,3
"I_A",4,4
"I/R_K/A",4,5
"W/I_B/A",4,6
"M/G_Y/A",4,7
"M/M_R/A",4,8
"I/N_B/A",4,9
"R/I_W/A",4,10
"I/R_B/A",4,11
"N/M_A",4,12
"B/I_Y/A",4,13
"I/W_M/A",4,14
"I/G_G/A",4,15
"G/M_K/A",4,16
"M/N_K/A",4,17
"M_R/A",4,18
"M/B_N/A",4,19
"R/Y_M/A",4,20
"I/R_M/A",4,21
"M/W_B/A",4,22
"M/N_N/A",4,23
"R/M_R/A",4,24
"K/N_I/A",4,25
"K/Y_I/A",4,26
"W/I_Y/A",4,27
"Y/I_G/A",4,28
"G/K_M/A",4,29
"K/I_I/A",4,30
"M/K_K/A",4,31
"I/R_B/A",4,32
"M/N_Y/A",4,33
"M/I_N/A",4,34
"B/M_R/A",4,35
"N/Y_M/A",4,36
"I/N_R/A",4,37
"I/B_W/A",4,38
"I/I_N/A",4,39
"N/I_A",4,40
"I/G_G/A",4,41
"M/B_W/A",4,42
"M/W_K/A",4,43
"K/M_Y/A",4,44
"K/I_W/A",4,45
"R/I_W/A",4,46
"M/Y_A",4,47
"M/M_M/A",4,48
"I/W_G/A",4,49
"I/M_M/A",4,50
"N/M_B/A",4,51
"G/N_M/A",4,52
"G/B_M/A",4,53
"I_B/A",4,54
"M/N_K/A",4,55
"B/I_Y/A",4,56
"Y/I_B/A",4,57
"Y/I_R/A",4,58
"B/M_K/A",4,59
"Y/M_G/A",4,60
"N/I_M/A",4,61
"I/I_I/A",4,62
"N/M_R/A",4,63
"R/Y_M/A",4,64
"G/R_I/A",4,65
"N/M_A",4,66
"I/W_M/A",4,67
"G/M_M/A",4,68
"Y/G_I/A",4,69
"Y/W_I/A",4,70
"R/I_B/A",4,71
"M/R_Y/A",4,72
"I/N_B/A",4,73
"M/W_G/A",4,74
"M/B_N/A",4,75
"G/Y_M/A",9,1
"W/I_M/A",9,2
"M/B_A",9,3
"R/M_Y/A",9,4
"Y/B_I/A",9,5
"M_W/A",9,6
"I/K_N/A",9,7
"M_Y/A",9,8
"Y/R_I/A",9,9
"G/G_M/A",9,10
"M/I_A",9,11
"M/I_R/A",9,12
"M/K_M/A",9,13
"M/R_A",9,14
"I/B_I/A",9,15
"W/M_W/A",9,16
"B/I_N/A",9,17
"M/B_I/A",9,18
"I/W_K/A",9,19
"Y/W_M/A",9,20
"M_A",9,21
"M/B_A",9,22
"I/I_W/A",9,23
"I/M_I/A",9,24
"I_G/A",9,25
"N/I_Y/A",9,26
"G/M_B/A",9,27
"M/R_A",9,28
"B/B_I/A",9,29
"W/I_M/A",9,30
"Y/M_W/A",9,31
"I/Y_R/A",9,32
"I/I_Y/A",9,33
"G/Y_M/A",9,34
"M/W_A",9,35
"R/M_Y/A",9,36
"M/G_N/A",9,37
"R/Y_I/A",9,38
"B/M_G/A",9,39
"R/R_I/A",9,40
"Y/W_M/A",9,41
"I_N/A",9,42
"N/I_I/A",9,43
"K/N_M/A",9,44
"I/W_K/A",9,45
"G/K_I/A",9,46
"M/N_G/A",9,47
"W/M_W/A",9,48
"I/K_N/A",9,49
"W/I_K/A",9,50
"M_Y/A",9,51
"M/K_M/A",9,52
"M/M_K/A",9,53
"M/Y_B/A",9,54
"B/G_I/A",9,55
"G/Y_I/A",9,56
"G/W_I/A",9,57
"N/M_W/A",9,58
"G/G_M/A",9,59
"M/B_I/A",9,60
"M/I_R/A",9,61
"B/I_N/A",9,62
"M_B/A",9,63
"B_I/A",9,64
"B/N_I/A",9,65
"R/B_I/A",9,66
"N/N_I/A",9,67
"M/G_I/A",9,68
"N/R_M/A",9,69
"M/K_I/A",9,70
"Y/R_I/A",9,71
"W/M_M/A",9,72
"I/I_A",9,73
"N/I_G/A",9,74
"Y/B_M/A",9,75
"N/K_I/A",9.5,1
"I/G_I/A",9.5,2
"M/Y_N/A",9.5,3
"G/M_R/A",9.5,4
"I/N_K/A",9.5,5
"B/Y_M/A",9.5,6
"I_I/A",9.5,7
"I/B_M/A",9.5,8
"W/R_M/A",9.5,9
"M/K_N/A",9.5,10
"I/M_N/A",9.5,11
"M/R_G/A",9.5,12
"G/M_G/A",9.5,13
"Y/M_R/A",9.5,14
"Y/I_Y/A",9.5,15
"I/R_W/A",9.5,16
"M/Y_K/A",9.5,17
"I/I_B/A",9.5,18
"I/R_Y/A",9.5,19
"M/B_K/A",9.5,20
"M/Y_R/A",9.5,21
"Y_M/A",9.5,22
"N/G_M/A",9.5,23
"N/W_I/A",9.5,24
"B/M_W/A",9.5,25
"M/Y_K/A",9.5,26
"I/N_A",9.5,27
"I/K_B/A",9.5,28
"M/N_W/A",9.5,29
"M/B_R/A",9.5,30
"K_M/A",9.5,31
"Y/I_W/A",9.5,32
"I/R_Y/A",9.5,33
"I/M_B/A",9.5,34
"B/M_I/A",9.5,35
"B/K_I/A",9.5,36
"I/Y_B/A",9.5,37
"I/N_G/A",9.5,38
"G/I_Y/A",9.5,39
"M/R_G/A",9.5,40
"W/B_I/A",9.5,41
"W/M_B/A",9.5,42
"G/M_G/A",9.5,43
"I/Y_G/A",9.5,44
"G/I_N/A",9.5,45
"R/M_W/A",9.5,46
"K/M_N/A",9.5,47
"M/B_K/A",9.5,48
"W/Y_M/A",9.5,49
"I/R_R/A",9.5,50
"R/N_I/A",9.5,51
"W/M_Y/A",9.5,52
"N/I_W/A",9.5,53
"N/I_B/A",9.5,54
"G_M/A",9.5,55
"K/Y_M/A",9.5,56
"I/G_I/A",9.5,57
"I/R_W/A",9.5,58
"B/M_B/A",9.5,59
"G/B_I/A",9.5,60
"K_I/A",9.5,61
"M/Y_N/A",9.5,62
"M/M_B/A",9.5,63
"W/R_M/A",9.5,64
"I_I/A",9.5,65
"I/N_K/A",9.5,66
"K/M_B/A",9.5,67
"M_K/A",9.5,68
"B/I_A",9.5,69
"I/M_W/A",9.5,70
"N/K_I/A",9.5,71
"K/M_I/A",9.5,72
"G/I_M/A",9.5,73
"I/I_B/A",9.5,74
"Y/N_I/A",9.5,75
"W/W_I/A",10,1
"W/R_I/A",10,2
"K/M_M/A",10,3
"B/M_A",10,4
"K/I_G/A",10,5
"Y/I_K/A",10,6
"W/M_R/A",10,7
"M/Y_G/A",10,8
"K/W_I/A",10,9
"Y/M_N/A",10,10
"R/I_R/A",10,11
"I/N_M/A",10,12
"W/M_I/A",10,13
"I/Y_W/A",10,14
"M/I_B/A",10,15
"G/R_M/A",10,16
"N_M/A",10,17
"M/W_I/A",10,18
"I/M_A",10,19
"G/M_A",10,20
"R/I_K/A",10,21
"I/G_B/A",10,22
"M/B_M/A",10,23
"I/I_G/A",10,24
"M/Y_G/A",10,25
"K/M_R/A",10,26
"Y/I_I/A",10,27
"W/W_I/A",10,28
"B/R_M/A",10,29
"I_Y/A",10,30
"G/M_A",10,31
"M/M_I/A",10,32
"B/R_I/A",10,33
"M/N_R/A",10,34
"K/K_I/A",10,35
"I/W_A",10,36
"K/M_G/A",10,37
"W/R_I/A",10,38
"M_G/A",10,39
"R_M/A",10,40
"N_M/A",10,41
"B/M_A",10,42
"R/I_R/A",10,43
"R/I_Y/A",10,44
"M/K_B/A",10,45
"K/I_G/A",10,46
"N/W_M/A",10,47
"G/M_N/A",10,48
"W/I_N/A",10,49
"I/M_Y/A",10,50
"W/K_I/A",10,51
"R/N_M/A",10,52
"R/M_K/A",10,53
"M/K_W/A",10,54
"R/I_G/A",10,55
"W/M_R/A",10,56
"G/R_M/A",10,57
"R/G_I/A",10,58
"G/I_I/A",10,59
"K/G_I/A",10,60
"M_I/A",10,61
"I/M_A",10,62
"N/K_M/A",10,63
"R/M_M/A",10,64
"M/W_I/A",10,65
"W/M_I/A",10,66
"K/M_M/A",10,67
"Y/M_Y/A",10,68
"M/M_Y/A",10,69
"M/I_M/A",10,70
"B/M_Y/A",10,71
"Y/M_A",10,72
"Y/M_N/A",10,73
"K/W_I/A",10,74
"W/N_M/A",10,75
